"","num","title","content"
"1",4,"ESTJ갤러리","- "
"2",7,"아따잉 첫빠여라~~ ㅋㅋ","         반갑소잉~~         "
"3",9,"여긴 왜 사람이 없냐","존나 조용하네 "
"4",10,"estj는 인싸들이어서 글쓸시간도없음","근데 나도 estj임 "
"5",11,"MBTI 갤러리에서 떡 돌리러 왔습니다.","반갑습니다. "
"6",13,"estj에게 사랑이란 뭐야?","         궁금해        "
"7",15,"INFP 입니다","인싸여러분 반갑습니다^^"
"8",16,"estj 랑 연애하면 발생하는 문제점","자기말이 다 옳다 생각하고 남의 의견은 묵살함."
"9",19,"ESTJ 약속 특","어긴적 없음.  어긴거라면 더 중요한게 생겨서 뒤로 밀린거임 "
"10",21,"안녕 인싸들아","         ISTP 다녀감        "
"11",22,"난 estj인데 아싸고 모쏠임","         와우 사실 e랑 i는 왔다갔다 하긴해 stj는 확높은데        "
"12",23,"엔팁인데 estj랑은 참오묘해","서로 누군가 먼저 배려할 만큼 착한편은 아닌데, "
"13",25,"ESTJ에 글이 없는이유","할말도 없고 "
"14",26,"mbti 관련 갤러리 순회 열차입니다","mbti와 관련된 다음 목적지를 댓글로 적어주시면 출발합니다 1.mbti갤러리 2.ESTJ 갤러리 "
"15",28,"여기진짜 심하넼ㅋㅋ","이거 하나 놓고간다 "
"16",32,"여기가 mbti 남자 소득 1위 estj갤인가요","남여 평균은 entj 승리지만 남자소득은 가장 높군요역시 일하는 중인지 디씨에 글조차 없네요"
"17",33,"entj인데 estj 친구랑 많이 싸워","니네도 그러냐 라고 질문하러왔는데 "
"18",34,"estj한테 어떻게 접근해야 해?","         내가 자주 가던 도서관의 사서 한명이 estj 같거든.이 여자한테 관심이 가는데 어떻게 접근하는게 좋을까?그냥 단도직입적으로 이야기 해?아니 뭔가 구실을 만들어야 할 것 같은데그냥 하지말까?        "
"19",35,"ESTJ 고집","난 인티제인데 원래 존나 안맞냐? Estj 친구는 자기주장만 고집하고 내가 증거 제시하며 반박해도 걔는 끝까지 틀린 지식으로 밀어붙임ㅋㅋ"
"20",36,"안녕하세요, MBTI별 설문조사 하러 나왔습니다.",""
"21",37,"MBTI  설문 참여해주세요 여러분","         https://forms.gle/YTWrY5EDvcRgtwqk9나중에 통계나옵니다        "
"22",40,"estj 멋있다고 생각했는데","태극기집회 나가서 박근혜 무죄석방 우렁차게 외치는 자칭 애국보수유형이라길래 푸슈슉함  "
"23",43,"펜팔친구하실분 계신가요..?","저는 ESTJ인데 글쓰는거 좋아해서 손편지 주고받으실분 찾아요.. "
"24",45,"ESTJ갤인데 다른 성격이 더 많네","ESTJ 같은 성격에도 사람들이 관심을 갖는구나워낙 사무적이고 딱딱한 성격이라서 관심 없을 줄 알았거든.우리는 일,공부,해야할일만 생각하고 사니까"
"25",46,"Intp 글 11000개 estj 글 45개","미안 하나 더 늘었어"
"26",48,"ㅊㄱㄱㅎㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ","                 "
"27",49,"당분간 MBTI갤에서 활동하지 마라 거기 갤매 븅신이다","ㅈㄱㄴ"
"28",52,"16 마이너 갤러리 리스트","         ENFJENFPENTJENTPESFJESFPESTJESTPINFJINFPINTJINTPISFJISFPISTJISTP"
"29",53,"엣티제 갤 생겼군","ㅎㅇ 난 엣픞임"
"30",54,"수갤 고닉 입갤","반갑다 "
"31",55,"estj랑 사귀고 있는 intj인데","         엣티제가 다 나한테 맞춰주면 진짜 좋아하는 거임? 엣티제들 깐깐하다고 알고있어서 궁금함        "
"32",56,"estj인 내가 쓰는 내 특징",""
"33",57,"ESTJ 친형을 두고 느끼는 ISFP 동생","고리타분함 권위적임노잼화내면 ㅈㄴ무서움음식 ㅈㄴ가림 주는대로 먹지 ㅉㅉ이럼부모님한테 잘함"
"34",58,"팩트) MBTI 이딴 좆구라검사 한다는 자체가 개병신찐따","반박못하죠 "
"35",59,"난 ESTJ 멋진거 같은데","         본인 ISFP아빠 ESTJ다 그렇지는 않겠지만, 어딜 가서든 열심히 잘 살 거같아서 걱정도 안 되고, 책 잡힐 짓 잘 안 하고, 혼나면 다 맞는 말이라 반박할 수도 없음사교적, 현실적, 분석적, 계획적 알파벳 풀어서 설명한 것만 봐도 멋진 듯 백종원 같은 전문가, 사업가 같은 느낌되고 싶은 유형이 있다면 ESTJ임        "
"36",60,"엣티제없는 엣티제갤","ㅋㅋㅋ개웃ㄷ겨"
"37",61,"엣티제들만","타 유형들에게 물어보니까 가장 선망받는 유형이 엣티제 너네였는데 동의해? "
"38",62,"이 시각 estj","Mbti 에 좃도 관심없고 유형도 기억못함Mbti 얘기 꺼내면 그딴건 모르겠고 니 앞가림이나 잘해라, 언제 성공할래 넌 그런거 생각할 시간에 책 한 자 더 읽어라, 남는 시간에 자기개발 해라 < 개꼰대쌉소리같지만 다 맞는소리라서 반박 불가 니네들이 이 유형에 대해 시간 버리면서 피터지는 논쟁을 한다해도 걔네들은 관심 좃도 없음결론: 그 시간에 자기개발이나 취미 가꾸시길..."
"39",67,"ESTJ들아 나 진짜 궁금한데","너네 관심있는 이성이나 친구한테만 잘챙겨주니? "
"40",68,"estj 된 이후로 인터넷 댓글 자주까임...","옛날엔 intp istp entp이렇게 자주나왔었음그땐 베댓같은거 자주되고 흐뭇해했는데..이상하게estj된 이후로 인터넷글도 자주까이고댓글도 반대나 비추 욕 ㅈㄴ먹음..하지만 현실은 잘먹고 잘산다는게 문제"
"41",69,"Estj 직장상사 너무 힘들다","Mbti랑 인성의 상관관계는 없겠지만 이 인간은 심각함할머니 돌아가셨다는 부고 듣고 급하게 가봐야하는 상황에며칠 쉴거냐, 니가 가봤자 뭐가 달라지냐, 지금 가버리면 일은 어떡하냐이지랄 하면서 20~30분을 잡고있음이런소리 듣고 그냥 퇴사할까 하다가 시국이 시국인지라 참았는데항상 자기 할말을 우선시하고 갈등이나 논쟁상황을 만든뒤에이겨먹고 뿌듯해하는거같음어떻게 맞춰줘야 할지 모르겠음 감정도 상할대로 상해서 풀고싶은마음도 안들고"
"42",71,"ESTJ행성 탐사 보고서","​※ ​ESTJ행성 탐사결과​ [​현생에 집중해 글리젠이 거의 없음.] [자기 식구는 잘챙기지만 남에게는 무관심한 편.] [규칙이 딱딱 정해지고 그에 맞게 행동함.] [남들에게도 규칙을 지킬것을 강요하는 꼰대 기질이 있음] [ESTJ보단 ESTJ에게 당한 사람들의 불만글이 더 올라옴.] "
"43",72,"ㅋㅋㅋㅋㅋ이거 웃기네","ㅋㅋㅋㅋ"
"44",76,"estj 여자임","그냥 딱 떠오르는 내 성격+주변에서 많이 들은 말금전관리 딱부러지게 잘한다/ 생활력 강하다대학교3학년 때 적금통장에 1000만원 모았음(용돈안받음)현재 갖고 있는 적금은 5가지. 장기 중기 단기 적금생활비통장에는 적어도 50만원 이상이 있도록 함더치페이 좋아함매일 아침 8시 수영 갔다가 학교 수업갔었음운동같은 취미생활 안하면 스트레스 받아서 뒤짐항상 애인 있었고 추정 N,P였던 쉐끼들이랑은 매일 싸우고 끝이 더러웠다. 존나 답답하고 한심하게 느껴질 때가 있었음.현재 만나는 사람은 esfj인데 단 한번도 안싸움 그리고잘맞는다.일 못하는 사람 혐오한다. 뒷담화도 혐오함.아는 사람은 많은데 친구라 생각하는 사람은 열명 안쪽솔직히 우울증에 대해서 이해못하겠음. 그래서 우울증을 겪는 친구 말은 그냥 닥치고 딴생각하면서 들어줌.능률 효율 가성비 ㅈㄴ 따진다고 친구들한테 면박맞은 경험 있음경쟁심도 심한거 같음. 지면 하루종일 생각나고 잠도 못잠. 내가 꼭 이겨야 직성이풀려서 그만큼 노력함. 자존심도 세서 고등학생 때 영어쌤이 영어 못한다고 면박줘서 삼일동안 문제집 한권 다 외워가서 기말고사 100점맞음수학 못하는 걸 인정할 수 없어서 고2까지 수학 문제집 답지 싹 외워서 숫자만 바꿔서 대입하는 식으로 문제풀었음.sns안한다 인스타 안한다 커뮤도 안한다. 여기는 검색하다 어쩌다 들어와서 글 남김. 여행계획 일정 지출 맛집 플랜까지 엑셀파일로 만들었다가 같이갔던 사람이 질겁함데이트코스마저 플랜c까지 만들어감N,P 였던 구남친 약속시간에 20분 늦어서 존나 화내고 그대로 집간 적 있음 그리고 헤어짐응 적으니까 내 성격 존나 좆같다"
"45",77,"이상형테스트 estj나와서 와봤어","ㅎㅇ 너네 주로 어디 서식하니"
"46",78,"너네 웹툰 봄?","네이버 12시 땡 하면 들어가서 웹툰 봄? 나 초딩 때 이후로 한 번도 웹툰 안 봣는데 다른 estj도 그런지 궁금해"
"47",81,"ESTJ 유형이 간섭이 심한 편?","모든게 제자리에 있어야 하고 계획대로 딱딱 맞춰산다는거자체는 모든 유형 중 가장 똑소리 난다고 생각하고거기에 대해서 머라 머라 대꾸하고 싶지도 않다근데 문제는 너무 현실적이고 융통성이 애1미 뒤졌다는거모순적이게도 내로남불인 유형 중 하나흔히들 말하는 좋게 되라는 마음에서 비롯된아무 이유없이 두는 훈수질남의 감정을 고려하지 않은 막말은 그냥 패시브 수준또한 위계 질서가 무조건 옳다고 생각하여팩트로 반박 -> 어디서 어른한테 대꾸질이야?대충 이런식내 주변 ESTJ가 가족, 학교 선생 밖에 없어서내 스스로 그들에 대해서 결론을 내리기엔 다소 애매하기에직접 물어보는거임"
"48",84,"안녕하세요 믑티 설문조사 하러 왔습니다","         https://forms.gle/ErqhDDPBMX2CkKaF9가서 설문 조사 참여 해주세요        "
"49",86,"다들 estj가 융통성 없다고 하는데 ㅋㅋ","내가 봤을 땐 estj가 제일 머리 빨리 돌아가고 상황 판단 제일 빠르고 융통성 있음 "
